Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Medium Gamma
11380736,4219392,13264641,9264897,10035200,8397056,9504768,7432704
4331521,10654208,15132672,3796992,15619328,1517312,9048320,1272832
8805656,12840195,2671104,1916673,3060224,7948800,3688960,13867008
4171536,5740037,1324032,6988801,14170624,4418048,9072384,12100864
8981254,7229953,13176576,11011328,13765888,4266240,11211264,15865088
10992656,13287936,13375489,2586112,15552768,14760448,3874304,15077632
379922,10661378,7866624,10101504,8984064,10685440,596480,13983744
5667330,15778816,9112320,14829312,2034176,5643008,11277824,13702912
12488467,6220803,2647296,1983744,11757824,3491584,88064,7008512
16723458,8269824,5967360,11011584,9570048,2361856,16385024,4982528
12533775,4899586,10375680,9214209,8442112,4811264,6307840,10000896
9434634,16666116,4680961,5029632,10835200,7488512,495104,10386432
14803723,13168385,13577728,4373760,12399872,14492416,6034944,3823872
1025537,4080640,9644800,4262144,132608,16188672,9963776,13961728
10355460,10062336,10890752,15274752,8064000,13374208,9317120,12467712
7633929,8468737,3222528,12853760,10297344,14161664,11090688,8531200
1001738,10307074,6859776,1460224,4933888,14258432,15085312,6440448
15777032,977667,8375553,1739264,2977792,7980032,16198657,16663552
1915664,15252737,14932992,13411840,14768128,12533248,14624768,1140992
15069462,2071817,6317056,15594752,11555072,7381760,12996608,8744960
14432773,4916993,7541761,3768832,4706816,8069888,76544,1218304
3695109,15179010,11753217,7492609,12588288,14497792,84480,2415104
4299522,9263873,1923328,2543361,14653696,8471552,16534016,8280576
13601024,744704,2247936,7298560,15612160,12331264,5136896,11628544
5894146,2902529,3226624,321280,9057280,12472064,3682816,4626944
3056128,16199168,5652480,11113728,13244928,10162944,13704192,14140672
6279680,3353088,269056,6406400,13783296,11150336,1904384,16156416
6113284,9499905,12728576,8963584,11735296,12003584,12208384,7963904
7048704,9522176,3433728,5081856,8870656,8285952,8409344,5396480
8833792,16505600,15994112,15456512,2830848,13648640,10310400,3026432
13731584,10959360,4414720,5772800,5863168,1386496,8137216,5860608
14718724,11029506,2442752,11012097,5522176,11027712,7279616,6707968
10644736,12124417,1136640,15841792,8805376,13518848,2057984,4081920
2562816,14238720,16527872,13617920,1195008,12145152,15219456,15050496
1167891,6336769,8601089,3830528,8557312,6779392,15479296,10839040
5741312,8816384,5734144,12019968,10234368,2310912,9578752,11682304
6983687,419840,4393216,16194304,5637888,11477504,2691584,13509376
4954112,3467008,15095808,16762624,146688,14829568,11300608,4171264
15829505,8940032,6424320,15934976,7344640,11407616,399360,4466432
15434497,14293248,4525056,4722432,14091520,3282944,4396800,3412480
1880064,3188737,14401280,14061056,7811328,4662272,1912576,1028608
8153088,13078528,12635648,12455936,667136,7153920,471296,11558656
8603136,677376,5462528,4813824,10371840,15154432,10176768,3250432
3161089,16597504,270848,15671040,265728,4788224,4067584,15802880
3812608,27392,15273984,16088832,1085440,3296000,7688192,2375936
15207430,7494913,8534016,9056256,13322240,796928,6827520,8621056
1781504,8472832,11287808,10783744,3028224,7032576,1324544,13153024
7215872,7556608,10815232,3681792,4676352,12854528,16232192,4547328
8105746,6786561,15620608,6040064,10240256,10838016,7751168,12151296
12463878,4128512,2513152,13195521,7487488,14232064,7025664,13398528
10362880,12871680,5173248,289792,4531712,14098432,11935488,14057728
12815104,12630528,11633408,5275906,13647616,15015680,15867136,6844160
14385409,12271360,12327936,1589504,4068352,7211776,9308672,3217152
12352000,483584,7464960,8615680,16530688,925440,153600,7630592
13784320,14570496,9059328,7359745,6234880,16007680,6903552,16736768
13395201,4347905,4419584,5440259,2828800,11505664,15151616,1413888
5409536,14121216,14904832,12376832,15093760,13582592,11935488,8032512
118017,13885440,8186368,1134337,4274688,7494144,6108928,1985280
10052102,7794944,4404992,4281346,5844992,16137728,11801088,6446080
13829899,12363777,6835714,7331328,9645312,11284992,6236928,12982272
13344516,4844547,5914368,15703296,15673088,13446656,10503680,5406208
6433282,7563265,3890177,7420416,3153664,16327936,464384,11044096
10646018,12009472,15610624,2560256,13044480,15015168,4000768,11215360
8348416,14110720,2172416,14841857,5524480,7883008,13911808,15088896
9491975,2414336,13200384,11697664,10567680,12013568,7430656,5353728
4647175,366338,1532672,10059520,14308864,1286912,2766080,4169728
6174464,4801792,2760704,9156864,4681984,13519616,6762496,4863744
8614153,7529728,16267264,7376896,8532992,14435584,15222784,11775232
4994311,1064705,12756480,1036032,10455296,5393920,11624704,11859200
3987968,12783875,5931008,14424832,12458240,15081472,11022592,3940352
7125248,7095040,3807232,4676096,14302720,7100928,2897408,3630080
4726785,1143041,4762880,8985344,5859328,3423232,6701824,5675264
13506560,4799232,1020160,21504,15390720,16005888,3835904,1400064
5051139,8589313,10822656,5262082,6887168,16271872,4607232,7576576
2896640,3157760,3355136,16240384,6962432,5665024,4270848,2233856
10387201,10617601,11538432,13453568,1010176,5525248,11556096,4952832
8896769,3168769,19200,3113728,8741888,413440,804864,13985024
4399874,936448,10290944,14287616,12520704,10095872,14748928,9245696
