Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Medium Gamma
6641664,3159552,16674560,3365893,14171648,13769984,9375488,8346880
10660352,9654784,3944448,3504897,1856512,5117696,8198912,6449664
2456576,12444672,234496,11879936,12788224,9318144,7542784,13868800
2877184,11695616,10865920,28928,9991424,6437120,5778176,886016
15821568,11690752,4977921,8975104,10427648,1910784,4133632,14715392
2716416,4155648,13173504,3831552,10126336,10505472,14754048,9669888
1341460,10773764,10248961,11409665,3898112,14494208,7219968,11905280
3816456,12757248,11137024,9355776,4398336,6241792,3615744,6950657
1323520,6172928,4331008,5288704,8272128,1064448,11812096,14188544
14787584,13994752,14765312,10235905,10391040,2770176,6822144,15496448
2525441,15238145,14898944,3494401,594944,7351296,15670016,6262528
10238728,8487680,2631424,11464704,2195456,16395264,8874240,12874240
9596672,764928,14444800,3885568,1533696,11940608,16196864,13656576
4798720,10955776,16149504,3884800,7474944,5323264,2124032,12451841
2540288,14054144,1852928,15827968,3284736,2693120,9453568,6295809
14808320,15773184,15947008,3971841,213760,15799808,12987392,11623424
12411136,4970240,2430465,2353409,2756864,2958848,987648,14578944
14802944,546560,12923392,3055872,4132864,10108928,15342848,7428096
11227146,6073088,11814912,8703489,14292736,5771520,1452800,4222208
4285952,2735872,999424,9344003,4926720,9117440,12326656,224256
4490245,4173568,15294464,16623361,9916160,4467456,922368,355840
14073856,2249728,4471296,4412416,8087808,15477760,15345920,16578560
2844928,7505920,667904,9433856,13658880,4862720,13788416,13030144
5517315,12759552,3289088,8071681,16002304,7808000,12674048,523520
2535681,6570496,14682112,16477184,2691328,8653312,15336960,14036736
2117376,2398464,1024256,1459457,11817984,14822400,70656,11448576
11679744,9783296,8192513,16148225,7677696,8790272,595200,12822016
11615744,2644480,7661056,8673025,5259264,12986880,14161152,9547520
946432,9591552,14234880,1417984,3414272,4921600,7227392,16740608
11098117,13074176,14369024,14668288,10115328,2629632,12719104,13284096
12597249,10523905,1575169,13258753,12212224,3814144,4596224,3523328
4287232,12474624,15490560,5771521,8403968,2766336,12134656,15169792
4879873,7223296,16318976,13643520,7735808,6492672,4658176,15474432
6103808,8586496,7800320,12947200,10641664,7821568,667648,14144512
7824896,3094016,13181184,15315968,10783233,2763776,7610880,13652992
914944,14642944,6253312,12609025,6828288,12854016,396800,5677056
5989377,6457344,9515008,16002816,4197376,14487040,11207680,15342848
1497344,2512897,14240256,1458944,13459200,3228928,9116160,743424
5854976,10567168,8336640,16212224,9216,13112064,7414784,11694080
14359810,5594368,4212224,11452929,9779968,14228224,5843456,2451712
11809792,14161920,4740608,11363329,3099648,3220736,335872,7214593
3232513,15405057,1266688,9885952,14752768,3809792,15603712,14320640
3810304,9839616,15034112,8147968,4798720,8069376,10359552,6917632
13343491,13744384,16600320,11509760,15360768,1587968,6041088,2038528
5334531,9702657,2101248,10369792,9839872,1258496,11864320,7283712
1878790,1569280,11154688,11644160,16471040,10184192,5511936,2542080
5514752,13800704,15411456,1082368,15073793,12981760,9446656,426240
514560,9666048,211200,9250305,13588736,2633984,16464384,4996096
6977281,13142784,7480832,634624,11480576,2176256,4070656,16097280
5015045,404992,7472896,7026176,9377280,4728320,4524288,10628608
5775104,10896896,6308352,5093888,6385664,5913088,13387008,757248
10575617,16599296,6295040,3676416,14550272,13568512,14747392,336128
2179586,14035714,16694016,657153,12393728,10765568,5127168,3832320
15432192,9662720,7504896,497920,11418368,15218688,2702848,1676288
2643201,3062272,12336896,2512385,3696640,13571840,12652288,16676608
8617728,4712448,13155840,5276929,11955712,10495488,10817024,12267264
5942016,13266176,13385728,12203264,7740416,9522176,5317888,14515712
4073216,3705856,8147456,15593472,9908224,8661248,12262912,1608448
14699776,3463424,7643136,14621697,11216640,10109440,14751232,5797632
9163008,9811712,13924864,6179840,9708288,2369792,15735552,11900928
7252227,8972032,14556416,15515904,707072,16660224,15358464,11115776
12925441,14491904,1198592,15568640,5312768,14357248,5637632,8595456
10073856,2243328,7496704,14902529,15755776,3224320,15288320,6520576
4873984,10071552,11689984,6505472,12204288,8007680,14884096,9084160
5251589,2037249,795392,7387904,10823936,6297600,8131328,9404672
2444801,9948160,3722240,2353920,14246400,8663552,12987904,7265024
14121242,9177346,5924096,10275840,11103744,9517312,8723968,8788480
16523521,1039872,9869312,11170560,1006848,14379776,14952960,11616512
11274251,4790530,1700096,6529024,10514432,10566912,1467136,1338624
6386948,14453760,8200960,591361,12600576,79360,6901504,11640832
2515456,10369280,1578752,11141634,11088128,12199936,1401088,12156160
5507075,11360000,16062976,10949633,9329664,13247744,2179584,5367040
15805953,14854656,6256128,6720770,11580928,865536,14894080,4612864
2630657,2961664,10955520,10833664,4278016,8205824,13709056,7960576
8108037,12510977,3944192,11411457,11820288,8931072,7426048,2523648
6767363,11951361,4395520,9014784,12322560,15665920,923136,5381120
14916864,5106432,8155136,11482624,8334592,16533248,5976832,13530624
